,제품코드,ATC코드,규격,단위,상한금액,전일,급여여부
23543,684100040,,1,mCi,,전문,0
23544,642704180,,1,정,,일반,0
23545,653803050,,1,캡슐,,일반,0
23546,697000010,,1,캡슐,,전문,0
23547,645402560,,1,정,,전문,0
23548,684100070,,1,mCi,,전문,0
23549,647301370,,1,정,,일반,0
23550,664601210,,1,정,,일반,0
23551,643504330,,1,캡슐,,전문,0
23552,642401940,,1,매,,일반,0
23553,674400100,,1,매,,일반,0
23554,644601730,,1,캡슐,,일반,0
23555,642103070,,1,캡슐,,일반,0
23556,687600060,,1,매,,일반,0
23557,687600050,,1,매,,일반,0
23558,641702820,,1,캡슐,,일반,0
23559,657303990,,1,캡슐,,일반,0
23560,698501580,,1,캡슐,,일반,0
23561,657304000,,1,캡슐,,일반,0
23562,679801100,,1,매,,일반,0
23563,641501250,,1,캡슐,,일반,0
23564,670800500,,1,정,,전문,0
23565,669603510,,1,정,,일반,0
23566,669904770,,1,정,,일반,0
23567,641104750,,28,정/팩,,전문,0
23568,669603220,,1,정,,일반,0
23569,661602000,,1,캡슐,,일반,0
23570,679600430,,1,캡슐,,일반,0
23571,661602020,,1,캡슐,,일반,0
23572,657501860,,1,정,,일반,0
23573,648601930,,1,캡슐,,일반,0
23574,622800280,,1,정,,일반,0
23575,644912250,,1,매,,일반,0
23576,644912260,,1,매,,일반,0
23577,669905390,,1,정,,일반,0
23578,698501190,,1,캡슐,,일반,0
23579,647301470,,1,정,,일반,0
23580,698501340,,1,캡슐,,일반,0
23581,658104360,,1,정,,일반,0
23582,643801460,,1,매,,일반,0
23583,643801850,,1,매,,일반,0
23584,643801860,,1,매,,일반,0
23585,643801870,,1,매,,일반,0
23586,643801880,,1,매,,일반,0
23587,644803480,,1,캡슐,,일반,0
23588,647601340,,1,캡슐,,일반,0
23589,643603560,,1,정,,일반,0
23590,679801190,,1,매,,일반,0
23591,653803140,,1,정,,일반,0
23592,642902860,,1,정,,일반,0
23593,645602420,,1,매,,일반,0
23594,669905180,,1,정,,일반,0
23595,653803150,,1,캡슐,,일반,0
23596,645603810,,1,매,,일반,0
23597,645603820,,1,매,,일반,0
23598,688900010,,1,캡슐,,전문,0
23599,661602490,,1,캡슐,,일반,0
23600,641803870,,1,정,,일반,0
23601,647601520,,1,정,,일반,0
23602,641702810,,1,캡슐,,일반,0
23603,643801370,,1,매,,일반,0
23604,643801890,,1,매,,일반,0
23605,644101200,,1,캡슐,,일반,0
23606,645904030,,1,정,,전문,0
23607,684500300,,1,정,,일반,0
23608,661602500,,1,캡슐,,일반,0
23609,661602620,,1,캡슐,,일반,0
23610,642001650,,1,캡슐,,일반,0
23611,663603100,,1,캡슐,,일반,0
23612,641602940,,1,정,,일반,0
23613,664700220,,1,정,,일반,0
23614,664102170,,1,캡슐,,일반,0
23615,645602450,,1,매,,일반,0
23616,657304410,,1,정,,일반,0
23617,642402010,,1,캡슐,,일반,0
23618,654303840,,1,캡슐,,일반,0
23619,642103150,,1,캡슐,,일반,0
23620,653804550,,1,캡슐,,일반,0
23621,663603970,,1,캡슐,,일반,0
23622,641804000,,1,캡슐,,일반,0
23623,661602530,,1,캡슐,,일반,0
23624,671702360,,1,캡슐,,일반,0
23625,698501010,,1,정,,일반,0
23626,643201520,,1,캡슐,,일반,0
23627,642202570,,1,정,,일반,0
23628,665001190,,1,캡슐,,일반,0
23629,648602170,,1,정,,일반,0
23630,654303860,,1,정,,일반,0
23631,642704510,,1,캡슐,,일반,0
23632,670604550,,1,정,,일반,0
23633,644601940,,1,매,,일반,0
23634,658104780,,1,정,,일반,0
23635,679600530,,1,캡슐,,일반,0
23636,642903090,,1,정,,일반,0
23637,661902160,,1,캡슐,,일반,0
23638,684500350,,1,정,,일반,0
23639,648602230,,1,캡슐,,일반,0
23640,651502740,,1,정,,일반,0
23641,664101870,,1,정,,일반,0
23642,644803530,,1,정,,일반,0
23643,644912360,,1,캡슐,,일반,0
23644,660401560,,1,캡슐,,일반,0
23645,642903110,,1,정,,일반,0
23646,645802680,,1,캡슐,,일반,0
23647,644003120,,1,캡슐,,일반,0
23648,643201540,,1,캡슐,,일반,0
23649,644804270,,1,캡슐,,일반,0
23650,644804010,,1,캡슐,,일반,0
23651,647601730,,1,캡슐,,일반,0
23652,643504700,,1,캡슐,,전문,0
23653,657803390,,1,정,,일반,0
23654,644803900,,1,정,,일반,0
23655,698000050,,1,캡슐,,전문,0
23656,647601740,,1,매,,일반,0
23657,643603650,,1,캡슐,,일반,0
23658,644602050,,1,캡슐,,일반,0
23659,687600140,,1,매,,일반,0
23660,662502480,,1,캡슐,,일반,0
23661,658104670,,1,정,,일반,0
23662,644602070,,1,캡슐,,일반,0
23663,645801700,,1,캡슐,,일반,0
23664,661902190,,1,정,,일반,0
23665,641604470,,1,캡슐,,일반,0
23666,647602740,,1,정,,일반,0
23667,647601750,,1,정,,일반,0
23668,642903920,,1,캡슐,,일반,0
23669,644602120,,1,정,,일반,0
23670,644101310,,1,정,,일반,0
23671,654304130,,1,정,,일반,0
23672,680500170,,1,캡슐,,일반,0
23673,641603070,,1,캡슐,,일반,0
23674,657304700,,1,캡슐,,일반,0
23675,642305440,,1,정,,일반,0
23676,657304710,,1,캡슐,,일반,0
23677,643305210,,1,캡슐,,일반,0
23678,656001910,,1,정,,일반,0
23679,647202530,,1,캡슐,,일반,0
23680,646202500,,1,정,,일반,0
23681,647602750,,1,정,,일반,0
23682,643101870,,1,정,,일반,0
23683,658501100,,1,정,,일반,0
23684,653804600,,1,캡슐,,일반,0
23685,698501180,,1,정,,일반,0
23686,643305170,,1,캡슐,,일반,0
23687,643305180,,1,정,,일반,0
23688,654202100,,1,캡슐,,일반,0
23689,679801210,,1,매,,일반,0
23690,642103890,,1,캡슐,,일반,0
23691,643305190,,1,캡슐,,일반,0
23692,643305230,,1,매,,일반,0
23693,643504800,,1,캡슐,,일반,0
23694,648602190,,1,정,,일반,0
23695,647803430,,1,캡슐,,일반,0
23696,679600730,,1,캡슐,,일반,0
23697,648602380,,1,캡슐,,일반,0
23698,647301830,,1,정,,일반,0
23699,649404360,,1,정,,일반,0
23700,649404370,,1,캡슐,,일반,0
23701,680500250,,1,캡슐,,일반,0
23702,647602020,,1,정,,일반,0
23703,643801600,,1,매,,일반,0
23704,643801740,,1,매,,일반,0
23705,647302190,,1,정,,일반,0
23706,647602260,,1,정,,일반,0
23707,647602680,,1,정,,일반,0
23708,671805010,,1,캡슐,,일반,0
23709,642002290,,1,캡슐,,전문,0
23710,642002300,,1,캡슐,,전문,0
23711,659900380,,1,캡슐,,전문,0
23712,669603460,,1,정,,일반,0
23713,693200330,,1,정,,일반,0
23714,642704940,,1,캡슐,,일반,0
23715,679600810,,1,캡슐,,일반,0
23716,674400230,,1,매,,일반,0
23717,654304310,,1,캡슐,,일반,0
23718,658104560,,1,캡슐,,일반,0
23719,643604500,,1,캡슐,,일반,0
23720,642002270,,1,정,,일반,0
23721,640600100,,1,정,,일반,0
23722,653804540,,1,매,,일반,0
23723,647000310,,1,매,,일반,0
23724,651601440,,1,정,,일반,0
23725,659900390,,1,캡슐,,일반,0
23726,641605010,,1,정,,일반,0
23727,657305320,,1,캡슐,,일반,0
23728,642705330,,1,캡슐,,일반,0
23729,698501050,,1,캡슐,,일반,0
23730,653804420,,1,캡슐,,일반,0
23731,698001760,,1,캡슐,,전문,0
23732,643305950,,1,정,,일반,0
23733,661602850,,1,캡슐,,일반,0
23734,656002970,,1,정,,일반,0
23735,644602380,,1,정,,일반,0
23736,643505530,,1,정,,일반,0
23737,647501330,,1,정,,일반,0
23738,697200100,,1,매,,전문,0
23739,697200140,,1,매,,전문,0
23740,696600750,,1,캡슐,,일반,0
23741,674400240,,1,매,,일반,0
23742,641604680,,1,매,,일반,0
23743,641604690,,1,매,,일반,0
23744,641604700,,1,매,,일반,0
23745,642903870,,1,매,,일반,0
23746,642903880,,1,매,,일반,0
23747,657305370,,1,캡슐,,일반,0
23748,673100091,,3,mL/병,,전문,0
23749,649805080,,1,캡슐,,일반,0
23750,657305430,,1,캡슐,,일반,0
23751,661602920,,1,캡슐,,일반,0
23752,657305440,,1,캡슐,,일반,0
23753,697100130,,1,정,,일반,0
23754,642506310,,1,정,,전문,0
23755,622200010,,1,캡슐,,전문,0
23756,684500490,,1,정,,일반,0
23757,653804520,,1,정,,일반,0
23758,641804950,,1,정,,일반,0
23759,642103940,,1,매,,일반,0
23760,658104710,,1,정,,일반,0
23761,645203350,,1,정,,일반,0
23762,643505800,,1,캡슐,,일반,0
23763,641703830,,1,캡슐,,일반,0
23764,661603350,,1,캡슐,,일반,0
23765,641704150,,1,정,,일반,0
23766,661603360,,1,캡슐,,일반,0
23767,661603390,,1,캡슐,,일반,0
23768,644602550,,1,정,,일반,0
23769,641605230,,1,정,,일반,0
23770,645203660,,1,캡슐,,일반,0
23771,644602560,,1,정,,일반,0
23772,644308190,,1,정,,전문,0
23773,670605800,,1,정,,전문,0
23774,647302520,,1,개,,일반,0
23775,671703420,,1,정,,일반,0
23776,641704230,,1,캡슐,,일반,0
23777,642904260,,1,정,,일반,0
23778,672300120,,1,매,,일반,0
23779,672300130,,1,매,,일반,0
23780,672300140,,1,매,,일반,0
23781,642002920,,1,정,,전문,0
23782,657502260,,1,정,,일반,0
23783,661603560,,1,캡슐,,일반,0
23784,658104930,,1,정,,일반,0
23785,661603600,,1,캡슐,,일반,0
23786,645304270,,1,개,,일반,0
23787,649805420,,1,캡슐,,일반,0
23788,644913320,,1,정,,전문,0
23789,644913330,,1,정,,전문,0
23790,653804700,,1,정,,일반,0
23791,656003170,,1,캡슐,,일반,0
23792,644602610,,1,정,,일반,0
23793,658104950,,1,정,,일반,0
23794,657305660,,1,정,,일반,0
23795,661904030,,1,캡슐,,일반,0
23796,641704320,,1,캡슐,,일반,0
